personal_labeling,filter_labeling,HSV
spring_light_red,light_red,"[0,120,240]"
spring_light_orange,light_orange,"[15,120,240]"
spring_light_yellow,light_yellow,"[30,120,240]"
spring_light_green1,light_green,"[45,120,240]"
spring_light_green2,light_green,"[60,120,240]"
spring_light_green3,light_green,"[75,120,240]"
spring_light_blue1,light_blue,"[90,120,240]"
spring_light_blue2,light_blue,"[105,120,240]"
spring_light_blue3,light_blue,"[120,120,240]"
spring_light_purple,light_purple,"[135,120,240]"
spring_light_pink1,light_pink,"[150,120,240]"
spring_light_pink2,light_pink,"[165,120,240]"
spring_bright_red,vivid_red,"[0,180,240]"
spring_bright_orange,vivid_orange,"[15,180,240]"
spring_bright_yellow,vivid_yellow,"[30,180,240]"
spring_bright_green1,vivid_green,"[45,180,240]"
spring_bright_green2,vivid_green,"[60,180,240]"
spring_bright_green3,vivid_green,"[75,180,240]"
spring_bright_blue1,vivid_blue,"[90,180,240]"
spring_bright_blue2,vivid_blue,"[105,180,240]"
spring_bright_blue3,vivid_blue,"[120,180,240]"
spring_bright_purple,vivid_purple,"[135,180,240]"
spring_bright_pink1,vivid_pink,"[150,180,240]"
spring_bright_pink2,vivid_pink,"[165,180,240]"
spring_vivid_red,vivid_red,"[0,240,210]"
spring_vivid_orange,vivid_orange,"[15,240,210]"
spring_vivid_yellow,vivid_yellow,"[30,240,210]"
spring_vivid_green1,vivid_green,"[45,240,210]"
spring_vivid_green2,vivid_green,"[60,240,210]"
spring_vivid_green3,vivid_green,"[75,240,210]"
spring_vivid_blue1,vivid_blue,"[90,240,210]"
spring_vivid_blue2,vivid_blue,"[105,240,210]"
spring_vivid_blue3,vivid_blue,"[120,240,210]"
spring_vivid_purple,vivid_purple,"[135,240,210]"
spring_vivid_pink1,vivid_pink,"[150,240,210]"
spring_vivid_pink2,vivid_pink,"[165,240,210]"
summer_light_red,light_red,"[0,60,240]"
summer_light_orange,light_orange,"[15,60,240]"
summer_light_yellow,light_yellow,"[30,60,240]"
summer_light_green1,light_green,"[45,60,240]"
summer_light_green2,light_green,"[60,60,240]"
summer_light_green3,light_green,"[75,60,240]"
summer_light_blue1,light_blue,"[90,60,240]"
summer_light_blue2,light_blue,"[105,60,240]"
summer_light_blue3,light_blue,"[120,60,240]"
summer_light_purple,light_purple,"[135,60,240]"
summer_light_pink1,light_pink,"[150,60,240]"
summer_light_pink2,light_pink,"[165,60,240]"
summer_mute_red,grayish_red,"[0,60,180]"
summer_mute_orange,grayish_orange,"[15,60,180]"
summer_mute_yellow,grayish_yellow,"[30,60,180]"
summer_mute_green1,grayish_green,"[45,60,180]"
summer_mute_green2,grayish_green,"[60,60,180]"
summer_mute_green3,grayish_green,"[75,60,180]"
summer_mute_blue1,grayish_blue,"[90,60,180]"
summer_mute_blue2,grayish_blue,"[105,60,180]"
summer_mute_blue3,grayish_blue,"[120,60,180]"
summer_mute_purple,grayish_purple,"[135,60,180]"
summer_mute_pink1,grayish_pink,"[150,60,180]"
summer_mute_pink2,grayish_pink,"[165,60,180]"
summer_dark_red,dark_red,"[0,60,120]"
summer_dark_orange,dark_orange,"[15,60,120]"
summer_dark_yellow,dark_yellow,"[30,60,120]"
summer_dark_green1,dark_green,"[45,60,120]"
summer_dark_green2,dark_green,"[60,60,120]"
summer_dark_green3,dark_green,"[75,60,120]"
summer_dark_blue1,dark_blue,"[90,60,120]"
summer_dark_blue2,dark_blue,"[105,60,120]"
summer_dark_blue3,dark_blue,"[120,60,120]"
summer_dark_purple,dark_purple,"[135,60,120]"
summer_dark_pink1,dark_pink,"[150,60,120]"
summer_dark_pink2,dark_pink,"[165,60,120]"
fall_mute_red,grayish_red,"[0,120,180]"
fall_mute_orange,grayish_orange,"[15,120,180]"
fall_mute_yellow,grayish_yellow,"[30,120,180]"
fall_mute_green1,grayish_green,"[45,120,180]"
fall_mute_green2,grayish_green,"[60,120,180]"
fall_mute_green3,grayish_green,"[75,120,180]"
fall_mute_blue1,grayish_blue,"[90,120,180]"
fall_mute_blue2,grayish_blue,"[105,120,180]"
fall_mute_blue3,grayish_blue,"[120,120,180]"
fall_mute_purple,grayish_purple,"[135,120,180]"
fall_mute_pink1,grayish_pink,"[150,120,180]"
fall_mute_pink2,grayish_pink,"[165,120,180]"
fall_dark_red,dark_red,"[0,120,120]"
fall_dark_orange,dark_orange,"[15,120,120]"
fall_dark_yellow,dark_yellow,"[30,120,120]"
fall_dark_green1,dark_green,"[45,120,120]"
fall_dark_green2,dark_green,"[60,120,120]"
fall_dark_green3,dark_green,"[75,120,120]"
fall_dark_blue1,dark_blue,"[90,120,120]"
fall_dark_blue2,dark_blue,"[105,120,120]"
fall_dark_blue3,dark_blue,"[120,120,120]"
fall_dark_purple,dark_purple,"[135,120,120]"
fall_dark_pink1,dark_pink,"[150,120,120]"
fall_dark_pink2,dark_pink,"[165,120,120]"
winter_vivid_red,vivid_red,"[0,180,180]"
winter_vivid_orange,vivid_orange,"[15,180,180]"
winter_vivid_yellow,vivid_yellow,"[30,180,180]"
winter_vivid_green1,vivid_green,"[45,180,180]"
winter_vivid_green2,vivid_green,"[60,180,180]"
winter_vivid_green3,vivid_green,"[75,180,180]"
winter_vivid_blue1,vivid_blue,"[90,180,180]"
winter_vivid_blue2,vivid_blue,"[105,180,180]"
winter_vivid_blue3,vivid_blue,"[120,180,180]"
winter_vivid_purple,vivid_purple,"[135,180,180]"
winter_vivid_pink1,vivid_pink,"[150,180,180]"
winter_vivid_pink2,vivid_pink,"[165,180,180]"
winter_deep_red,dark_red,"[0,210,120]"
